step	elapsed_tokens	elapsed_examples	training_loss	training_sequence_accuracy	training_token_accuracy
247	71740	988	0.05467588170326572	0.75	0.8571428571428571
248	71968	992	0.06882651613472261	0.75	0.8333333333333334
249	72164	996	0.03956215307228073	0.75	0.9
250	72392	1000	0.03876354591214522	0.75	0.9090909090909091
251	72620	1004	0.023531391973114556	1.0	1.0
252	72880	1008	0.09741936918897295	0.0	0.5882352941176471
253	73108	1012	0.022206256226792388	1.0	1.0
254	73368	1016	0.0353201979083201	1.0	1.0
255	73628	1020	0.07878646390227002	0.5	0.7391304347826086
256	73824	1024	0.038868594258856325	0.75	0.8
257	73988	1028	0.054651142705428354	0.5	0.8571428571428571
258	74408	1032	0.025667499722466996	1.0	1.0
259	74700	1036	0.0768622593673538	0.0	0.5384615384615384
260	74864	1040	0.04586759957157483	0.5	0.8181818181818182
261	75028	1044	0.05601152383974113	0.75	0.75
262	75416	1048	0.0612518881795927	0.5	0.7777777777777778
263	75836	1052	0.06434694717016659	0.5	0.6842105263157895
264	76032	1056	0.0607131279248885	0.5	0.8
265	76228	1060	0.029389649455333716	0.75	0.8888888888888888
266	76488	1064	0.036231531914945665	0.5	0.8
267	76748	1068	0.031722697932823396	0.75	0.9
268	77072	1072	0.01704966662701918	1.0	1.0
269	77332	1076	0.033310561969083205	0.25	0.5555555555555556
270	77528	1080	0.046005460160232964	0.5	0.8333333333333334
271	77724	1084	0.02998266030042032	1.0	1.0
272	77952	1088	0.059197041408356854	0.5	0.8125
273	78244	1092	0.05095474457742158	0.75	0.7777777777777778
274	78568	1096	0.06456310147943622	0.5	0.6
275	78860	1100	0.03327336345057221	0.75	0.8461538461538461
276	79216	1104	0.02758367584811905	0.25	0.6666666666666666
277	79572	1108	0.054139000772934605	0.0	0.5384615384615384
278	79928	1112	0.03590597483861488	0.25	0.75
279	80188	1116	0.023754652580755646	0.5	0.75
280	80512	1120	0.024201948599445133	1.0	1.0
281	80772	1124	0.09070424974862278	0.25	0.5555555555555556
282	81128	1128	0.02585064737612356	0.75	0.875
283	81420	1132	0.08302361655821491	0.5	0.7272727272727273
284	81680	1136	0.04682903696501853	0.75	0.8333333333333334
285	81844	1140	0.058636404674383136	0.75	0.9
286	82072	1144	0.025751053080936927	1.0	1.0
287	82524	1148	0.04777095597463748	0.25	0.7368421052631579
288	82752	1152	0.04405767144296988	0.75	0.8571428571428571
289	83076	1156	0.036898565222756585	0.5	0.8333333333333334
290	83368	1160	0.06087971268174038	0.25	0.7692307692307693
291	83724	1164	0.019160959978369398	1.0	1.0
292	83888	1168	0.06485225650609935	0.75	0.8181818181818182
293	84148	1172	0.023424274572869306	1.0	1.0
294	84760	1176	0.027763260067088263	0.0	0.5454545454545454
295	85020	1180	0.06938235134455908	0.25	0.782608695652174
296	85216	1184	0.06731998237659204	0.5	0.8181818181818182
297	85476	1188	0.0657104815416551	0.5	0.7
298	85608	1192	0.052428176132516456	0.5	0.8181818181818182
299	85868	1196	0.05320025210296421	0.5	0.7272727272727273
300	86352	1200	0.046310873708744725	0.25	0.7222222222222222
301	86676	1204	0.021207299792964478	1.0	1.0
302	86936	1208	0.09734449461749363	0.25	0.4375
303	87196	1212	0.06985605566806839	0.5	0.5333333333333333
304	87520	1216	0.05031651854806387	0.25	0.5384615384615384
305	87748	1220	0.061127682610136354	0.5	0.7272727272727273
306	88040	1224	0.028495813009259217	0.75	0.9166666666666666
307	88268	1228	0.03366633070224841	1.0	1.0
308	88496	1232	0.0735195613949223	0.75	0.75
309	88788	1236	0.036891866027864234	0.75	0.9230769230769231
310	89112	1240	0.03382157580459625	0.75	0.8333333333333334
311	89308	1244	0.03629643640143816	0.5	0.8
312	89600	1248	0.03282222978569735	0.75	0.9230769230769231
313	89988	1252	0.01763359729800944	1.0	1.0
314	90184	1256	0.0441930349803018	0.75	0.9166666666666666
315	90604	1260	0.0379987433664344	0.5	0.8125
316	90832	1264	0.02045765197149064	1.0	1.0
317	91348	1268	0.025690655795839918	0.75	0.8461538461538461
318	91768	1272	0.03812763432432732	0.5	0.8333333333333334
319	92092	1276	0.02250287447779556	0.75	0.8888888888888888
320	92512	1280	0.05269575750468169	0.5	0.6875
321	92836	1284	0.025700937067254015	0.5	0.7777777777777778
322	93128	1288	0.053705887536159985	0.75	0.8181818181818182
323	93612	1292	0.028301740426142107	0.75	0.9166666666666666
324	93936	1296	0.039754557678652415	0.5	0.8181818181818182
325	94548	1300	0.02636401480078827	0.5	0.7777777777777778
326	95128	1304	0.021992257988824048	0.75	0.875
327	95356	1308	0.03281801121258467	1.0	1.0
328	95680	1312	0.026085806513125136	0.75	0.9285714285714286
329	95940	1316	0.07611870995285527	0.5	0.7142857142857143
330	96200	1320	0.0581557823670164	0.25	0.7142857142857143
331	96428	1324	0.03660942854611416	0.75	0.8181818181818182
332	96624	1328	0.08466983179634553	0.5	0.8333333333333334
333	97300	1332	0.025950221366989962	0.75	0.8333333333333334
